X,Y,Z
-1.515655,0.01747333,-3.223854
-1.477478,0.008126672,-3.237105
-1.485383,0.01747333,-3.234675
-1.477478,0.01747333,-3.237105
-1.485383,0.00812667,-3.234675
-1.493287,0.01747333,-3.232244
-1.493287,0.008126669,-3.232244
-1.501192,0.01747333,-3.229813
-1.501192,0.008126669,-3.229813
-1.509096,0.01747333,-3.227383
-1.509096,0.008126667,-3.227383
-1.508211,0.008126667,-3.226143
-1.508211,0.01747333,-3.226143
-1.509096,0.01747333,-3.227383
-1.509096,0.008126667,-3.227383
-1.509365,0.008126666,-3.176901
-1.509365,0.01747333,-3.176901
-1.501921,0.01747333,-3.17919
-1.501921,0.008126667,-3.17919
-1.494477,0.01747333,-3.181479
-1.494477,0.008126667,-3.181479
-1.487033,0.01747333,-3.183768
-1.487033,0.008126669,-3.183768
-1.479589,0.01747333,-3.186057
-1.479589,0.008126669,-3.186057
-1.510322,0.008126666,-3.175095
-1.502417,0.01747333,-3.177525
-1.510322,0.01747333,-3.175095
-1.502417,0.008126667,-3.177525
-1.494513,0.01747333,-3.179956
-1.494513,0.008126667,-3.179956
-1.486608,0.01747333,-3.182387
-1.486608,0.008126669,-3.182387
-1.478704,0.01747333,-3.184817
-1.478704,0.008126669,-3.184817

X,Y,Z
-1.517001,0.008126667,-3.224952
-1.524905,0.008126666,-3.222522
-1.524905,0.01747333,-3.222522
-1.517001,0.01747333,-3.224952
-1.512752,0.008126666,-3.182999
-1.510322,0.008126666,-3.175095
-1.510322,0.01747333,-3.175095
-1.512752,0.01747333,-3.182999
-1.515183,0.008126666,-3.190904
-1.515183,0.01747333,-3.190904
-1.517613,0.008126666,-3.198808
-1.517613,0.01747333,-3.198808
-1.520044,0.008126666,-3.206713
-1.520044,0.01747333,-3.206713
-1.522475,0.008126666,-3.214617
-1.522475,0.01747333,-3.214617
-1.524905,0.008126666,-3.222522
-1.524905,0.01747333,-3.222522
-1.470799,0.00812667,-3.187248
-1.462895,0.008126672,-3.189678
-1.462895,0.01747333,-3.189678
-1.470799,0.01747333,-3.187248
-1.475048,0.008126672,-3.229201
-1.477478,0.008126672,-3.237105
-1.477478,0.01747333,-3.237105
-1.475048,0.01747333,-3.229201
-1.472617,0.008126672,-3.221296
-1.472617,0.01747333,-3.221296
-1.470186,0.008126672,-3.213392
-1.470186,0.01747333,-3.213392
-1.467756,0.008126672,-3.205487
-1.467756,0.01747333,-3.205487
-1.465325,0.008126672,-3.197583
-1.465325,0.01747333,-3.197583
-1.462895,0.008126672,-3.189678
-1.462895,0.01747333,-3.189678
-1.515655,0.008126666,-3.223854
-1.524905,0.008126666,-3.222522
-1.517001,0.008126667,-3.224952
-1.523099,0.008126666,-3.221565
-1.522475,0.008126666,-3.214617
-1.52081,0.008126666,-3.214121
-1.520044,0.008126666,-3.206713
-1.518521,0.008126666,-3.206677
-1.517613,0.008126666,-3.198808
-1.516232,0.008126666,-3.199233
-1.515183,0.008126666,-3.190904
-1.513943,0.008126666,-3.191789
-1.512752,0.008126666,-3.182999
-1.511654,0.008126666,-3.184345
-1.510322,0.008126666,-3.175095
-1.509365,0.008126666,-3.176901
-1.502417,0.008126667,-3.177525
-1.501921,0.008126667,-3.17919
-1.494513,0.008126667,-3.179956
-1.494477,0.008126667,-3.181479
-1.486608,0.008126669,-3.182387
-1.487033,0.008126669,-3.183768
-1.478704,0.008126669,-3.184817
-1.479589,0.008126669,-3.186057
-1.515655,0.01747333,-3.223854
-1.523099,0.01747333,-3.221565
-1.523099,0.008126666,-3.221565
-1.515655,0.008126666,-3.223854
-1.511654,0.01747333,-3.184345
-1.509365,0.01747333,-3.176901
-1.509365,0.008126666,-3.176901
-1.511654,0.008126666,-3.184345
-1.513943,0.01747333,-3.191789
-1.513943,0.008126666,-3.191789
-1.516232,0.01747333,-3.199233
-1.516232,0.008126666,-3.199233
-1.518521,0.01747333,-3.206677
-1.518521,0.008126666,-3.206677
-1.52081,0.01747333,-3.214121
-1.52081,0.008126666,-3.214121
-1.523099,0.01747333,-3.221565
-1.523099,0.008126666,-3.221565
-1.472145,0.00812667,-3.188346
-1.472145,0.01747333,-3.188346
-1.464701,0.01747333,-3.190635
-1.464701,0.008126672,-3.190635
-1.476146,0.008126672,-3.227855
-1.478435,0.01747333,-3.235299
-1.478435,0.008126672,-3.235299
-1.476146,0.01747333,-3.227855
-1.473857,0.008126672,-3.220411
-1.473857,0.01747333,-3.220411
-1.471568,0.008126672,-3.212967
-1.471568,0.01747333,-3.212967
-1.469279,0.008126672,-3.205523
-1.469279,0.01747333,-3.205523
-1.46699,0.008126672,-3.198079
-1.46699,0.01747333,-3.198079
-1.464701,0.008126672,-3.190635
-1.464701,0.01747333,-3.190635
-1.472145,0.00812667,-3.188346
-1.462895,0.008126672,-3.189678
-1.470799,0.00812667,-3.187248
-1.464701,0.008126672,-3.190635
-1.46699,0.008126672,-3.198079
-1.465325,0.008126672,-3.197583
-1.469279,0.008126672,-3.205523
-1.467756,0.008126672,-3.205487
-1.471568,0.008126672,-3.212967
-1.470186,0.008126672,-3.213392
-1.473857,0.008126672,-3.220411
-1.472617,0.008126672,-3.221296
-1.476146,0.008126672,-3.227855
-1.475048,0.008126672,-3.229201
-1.478435,0.008126672,-3.235299
-1.477478,0.008126672,-3.237105
-1.485383,0.00812667,-3.234675
-1.485879,0.00812667,-3.23301
-1.493287,0.008126669,-3.232244
-1.493323,0.008126669,-3.230721
-1.501192,0.008126669,-3.229813
-1.500767,0.008126669,-3.228432
-1.509096,0.008126667,-3.227383
-1.508211,0.008126667,-3.226143
-1.478435,0.01747333,-3.235299
-1.485879,0.00812667,-3.23301
-1.478435,0.008126672,-3.235299
-1.485879,0.01747333,-3.23301
-1.493323,0.008126669,-3.230721
-1.493323,0.01747333,-3.230721
-1.500767,0.008126669,-3.228432
-1.500767,0.01747333,-3.228432
-1.508211,0.008126667,-3.226143
-1.508211,0.01747333,-3.226143
-1.479589,0.008126669,-3.186057
-1.479589,0.01747333,-3.186057
-1.478704,0.01747333,-3.184817
-1.478704,0.008126669,-3.184817
-1.524905,0.01747333,-3.222522
-1.515655,0.01747333,-3.223854
-1.517001,0.01747333,-3.224952
-1.523099,0.01747333,-3.221565
-1.52081,0.01747333,-3.214121
-1.522475,0.01747333,-3.214617
-1.518521,0.01747333,-3.206677
-1.520044,0.01747333,-3.206713
-1.516232,0.01747333,-3.199233
-1.517613,0.01747333,-3.198808
-1.513943,0.01747333,-3.191789
-1.515183,0.01747333,-3.190904
-1.511654,0.01747333,-3.184345
-1.512752,0.01747333,-3.182999
-1.509365,0.01747333,-3.176901
-1.510322,0.01747333,-3.175095
-1.502417,0.01747333,-3.177525
-1.501921,0.01747333,-3.17919
-1.494513,0.01747333,-3.179956
-1.494477,0.01747333,-3.181479
-1.486608,0.01747333,-3.182387
-1.487033,0.01747333,-3.183768
-1.478704,0.01747333,-3.184817
-1.479589,0.01747333,-3.186057
-1.472145,0.00812667,-3.188346
-1.470799,0.00812667,-3.187248
-1.470799,0.01747333,-3.187248
-1.472145,0.01747333,-3.188346
-1.509096,0.01747333,-3.227383
-1.508211,0.01747333,-3.226143
-1.500767,0.01747333,-3.228432
-1.501192,0.01747333,-3.229813
-1.493323,0.01747333,-3.230721
-1.493287,0.01747333,-3.232244
-1.485879,0.01747333,-3.23301
-1.485383,0.01747333,-3.234675
-1.478435,0.01747333,-3.235299
-1.477478,0.01747333,-3.237105
-1.475048,0.01747333,-3.229201
-1.476146,0.01747333,-3.227855
-1.472617,0.01747333,-3.221296
-1.473857,0.01747333,-3.220411
-1.470186,0.01747333,-3.213392
-1.471568,0.01747333,-3.212967
-1.467756,0.01747333,-3.205487
-1.469279,0.01747333,-3.205523
-1.465325,0.01747333,-3.197583
-1.46699,0.01747333,-3.198079
-1.462895,0.01747333,-3.189678
-1.464701,0.01747333,-3.190635
-1.472145,0.01747333,-3.188346
-1.470799,0.01747333,-3.187248
-1.515655,0.008126666,-3.223854
-1.517001,0.008126667,-3.224952
-1.517001,0.01747333,-3.224952
-1.515655,0.01747333,-3.223854
-1.477478,0.008126672,-3.237105
-1.485383,0.01747333,-3.234675
-1.477478,0.01747333,-3.237105
-1.485383,0.00812667,-3.234675
-1.493287,0.01747333,-3.232244
-1.493287,0.008126669,-3.232244
-1.501192,0.01747333,-3.229813
-1.501192,0.008126669,-3.229813
-1.509096,0.01747333,-3.227383
-1.509096,0.008126667,-3.227383
-1.508211,0.008126667,-3.226143
-1.508211,0.01747333,-3.226143
-1.509096,0.01747333,-3.227383
-1.509096,0.008126667,-3.227383
-1.509365,0.008126666,-3.176901
-1.509365,0.01747333,-3.176901
-1.501921,0.01747333,-3.17919
-1.501921,0.008126667,-3.17919
-1.494477,0.01747333,-3.181479
-1.494477,0.008126667,-3.181479
-1.487033,0.01747333,-3.183768
-1.487033,0.008126669,-3.183768
-1.479589,0.01747333,-3.186057
-1.479589,0.008126669,-3.186057
-1.510322,0.008126666,-3.175095
-1.502417,0.01747333,-3.177525
-1.510322,0.01747333,-3.175095
-1.502417,0.008126667,-3.177525
-1.494513,0.01747333,-3.179956
-1.494513,0.008126667,-3.179956
-1.486608,0.01747333,-3.182387
-1.486608,0.008126669,-3.182387
-1.478704,0.01747333,-3.184817
-1.478704,0.008126669,-3.184817

X,Y,Z
-1.517001,0.008126667,-3.224952
-1.524905,0.008126666,-3.222522
-1.524905,0.01747333,-3.222522
-1.517001,0.01747333,-3.224952
-1.512752,0.008126666,-3.182999
-1.510322,0.008126666,-3.175095
-1.510322,0.01747333,-3.175095
-1.512752,0.01747333,-3.182999
-1.515183,0.008126666,-3.190904
-1.515183,0.01747333,-3.190904
-1.517613,0.008126666,-3.198808
-1.517613,0.01747333,-3.198808
-1.520044,0.008126666,-3.206713
-1.520044,0.01747333,-3.206713
-1.522475,0.008126666,-3.214617
-1.522475,0.01747333,-3.214617
-1.524905,0.008126666,-3.222522
-1.524905,0.01747333,-3.222522
-1.470799,0.00812667,-3.187248
-1.462895,0.008126672,-3.189678
-1.462895,0.01747333,-3.189678
-1.470799,0.01747333,-3.187248
-1.475048,0.008126672,-3.229201
-1.477478,0.008126672,-3.237105
-1.477478,0.01747333,-3.237105
-1.475048,0.01747333,-3.229201
-1.472617,0.008126672,-3.221296
-1.472617,0.01747333,-3.221296
-1.470186,0.008126672,-3.213392
-1.470186,0.01747333,-3.213392
-1.467756,0.008126672,-3.205487
-1.467756,0.01747333,-3.205487
-1.465325,0.008126672,-3.197583
-1.465325,0.01747333,-3.197583
-1.462895,0.008126672,-3.189678
-1.462895,0.01747333,-3.189678
-1.515655,0.008126666,-3.223854
-1.524905,0.008126666,-3.222522
-1.517001,0.008126667,-3.224952
-1.523099,0.008126666,-3.221565
-1.522475,0.008126666,-3.214617
-1.52081,0.008126666,-3.214121
-1.520044,0.008126666,-3.206713
-1.518521,0.008126666,-3.206677
-1.517613,0.008126666,-3.198808
-1.516232,0.008126666,-3.199233
-1.515183,0.008126666,-3.190904
-1.513943,0.008126666,-3.191789
-1.512752,0.008126666,-3.182999
-1.511654,0.008126666,-3.184345
-1.510322,0.008126666,-3.175095
-1.509365,0.008126666,-3.176901
-1.502417,0.008126667,-3.177525
-1.501921,0.008126667,-3.17919
-1.494513,0.008126667,-3.179956
-1.494477,0.008126667,-3.181479
-1.486608,0.008126669,-3.182387
-1.487033,0.008126669,-3.183768
-1.478704,0.008126669,-3.184817
-1.479589,0.008126669,-3.186057
-1.515655,0.01747333,-3.223854
-1.523099,0.01747333,-3.221565
-1.523099,0.008126666,-3.221565
-1.515655,0.008126666,-3.223854
-1.511654,0.01747333,-3.184345
-1.509365,0.01747333,-3.176901
-1.509365,0.008126666,-3.176901
-1.511654,0.008126666,-3.184345
-1.513943,0.01747333,-3.191789
-1.513943,0.008126666,-3.191789
-1.516232,0.01747333,-3.199233
-1.516232,0.008126666,-3.199233
-1.518521,0.01747333,-3.206677
-1.518521,0.008126666,-3.206677
-1.52081,0.01747333,-3.214121
-1.52081,0.008126666,-3.214121
-1.523099,0.01747333,-3.221565
-1.523099,0.008126666,-3.221565
-1.472145,0.00812667,-3.188346
-1.472145,0.01747333,-3.188346
-1.464701,0.01747333,-3.190635
-1.464701,0.008126672,-3.190635
-1.476146,0.008126672,-3.227855
-1.478435,0.01747333,-3.235299
-1.478435,0.008126672,-3.235299
-1.476146,0.01747333,-3.227855
-1.473857,0.008126672,-3.220411
-1.473857,0.01747333,-3.220411
-1.471568,0.008126672,-3.212967
-1.471568,0.01747333,-3.212967
-1.469279,0.008126672,-3.205523
-1.469279,0.01747333,-3.205523
-1.46699,0.008126672,-3.198079
-1.46699,0.01747333,-3.198079
-1.464701,0.008126672,-3.190635
-1.464701,0.01747333,-3.190635
-1.472145,0.00812667,-3.188346
-1.462895,0.008126672,-3.189678
-1.470799,0.00812667,-3.187248
-1.464701,0.008126672,-3.190635
-1.46699,0.008126672,-3.198079
-1.465325,0.008126672,-3.197583
-1.469279,0.008126672,-3.205523
-1.467756,0.008126672,-3.205487
-1.471568,0.008126672,-3.212967
-1.470186,0.008126672,-3.213392
-1.473857,0.008126672,-3.220411
-1.472617,0.008126672,-3.221296
-1.476146,0.008126672,-3.227855
-1.475048,0.008126672,-3.229201
-1.478435,0.008126672,-3.235299
-1.477478,0.008126672,-3.237105
-1.485383,0.00812667,-3.234675
-1.485879,0.00812667,-3.23301
-1.493287,0.008126669,-3.232244
-1.493323,0.008126669,-3.230721
-1.501192,0.008126669,-3.229813
-1.500767,0.008126669,-3.228432
-1.509096,0.008126667,-3.227383
-1.508211,0.008126667,-3.226143
-1.478435,0.01747333,-3.235299
-1.485879,0.00812667,-3.23301
-1.478435,0.008126672,-3.235299
-1.485879,0.01747333,-3.23301
-1.493323,0.008126669,-3.230721
-1.493323,0.01747333,-3.230721
-1.500767,0.008126669,-3.228432
-1.500767,0.01747333,-3.228432
-1.508211,0.008126667,-3.226143
-1.508211,0.01747333,-3.226143
-1.479589,0.008126669,-3.186057
-1.479589,0.01747333,-3.186057
-1.478704,0.01747333,-3.184817
-1.478704,0.008126669,-3.184817
-1.524905,0.01747333,-3.222522
-1.515655,0.01747333,-3.223854
-1.517001,0.01747333,-3.224952
-1.523099,0.01747333,-3.221565
-1.52081,0.01747333,-3.214121
-1.522475,0.01747333,-3.214617
-1.518521,0.01747333,-3.206677
-1.520044,0.01747333,-3.206713
-1.516232,0.01747333,-3.199233
-1.517613,0.01747333,-3.198808
-1.513943,0.01747333,-3.191789
-1.515183,0.01747333,-3.190904
-1.511654,0.01747333,-3.184345
-1.512752,0.01747333,-3.182999
-1.509365,0.01747333,-3.176901
-1.510322,0.01747333,-3.175095
-1.502417,0.01747333,-3.177525
-1.501921,0.01747333,-3.17919
-1.494513,0.01747333,-3.179956
-1.494477,0.01747333,-3.181479
-1.486608,0.01747333,-3.182387
-1.487033,0.01747333,-3.183768
-1.478704,0.01747333,-3.184817
-1.479589,0.01747333,-3.186057
-1.472145,0.00812667,-3.188346
-1.470799,0.00812667,-3.187248
-1.470799,0.01747333,-3.187248
-1.472145,0.01747333,-3.188346
-1.509096,0.01747333,-3.227383
-1.508211,0.01747333,-3.226143
-1.500767,0.01747333,-3.228432
-1.501192,0.01747333,-3.229813
-1.493323,0.01747333,-3.230721
-1.493287,0.01747333,-3.232244
-1.485879,0.01747333,-3.23301
-1.485383,0.01747333,-3.234675
-1.478435,0.01747333,-3.235299
-1.477478,0.01747333,-3.237105
-1.475048,0.01747333,-3.229201
-1.476146,0.01747333,-3.227855
-1.472617,0.01747333,-3.221296
-1.473857,0.01747333,-3.220411
-1.470186,0.01747333,-3.213392
-1.471568,0.01747333,-3.212967
-1.467756,0.01747333,-3.205487
-1.469279,0.01747333,-3.205523
-1.465325,0.01747333,-3.197583
-1.46699,0.01747333,-3.198079
-1.462895,0.01747333,-3.189678
-1.464701,0.01747333,-3.190635
-1.472145,0.01747333,-3.188346
-1.470799,0.01747333,-3.187248
-1.515655,0.008126666,-3.223854
-1.517001,0.008126667,-3.224952
-1.517001,0.01747333,-3.224952
-1.515655,0.01747333,-3.223854
-1.477478,0.008126672,-3.237105
-1.485383,0.01747333,-3.234675
-1.477478,0.01747333,-3.237105
-1.485383,0.00812667,-3.234675
-1.493287,0.01747333,-3.232244
-1.493287,0.008126669,-3.232244
-1.501192,0.01747333,-3.229813
-1.501192,0.008126669,-3.229813
-1.509096,0.01747333,-3.227383
-1.509096,0.008126667,-3.227383
-1.508211,0.008126667,-3.226143
-1.508211,0.01747333,-3.226143
-1.509096,0.01747333,-3.227383
-1.509096,0.008126667,-3.227383
-1.509365,0.008126666,-3.176901
-1.509365,0.01747333,-3.176901
-1.501921,0.01747333,-3.17919
-1.501921,0.008126667,-3.17919
-1.494477,0.01747333,-3.181479
-1.494477,0.008126667,-3.181479
-1.487033,0.01747333,-3.183768
-1.487033,0.008126669,-3.183768
-1.479589,0.01747333,-3.186057
-1.479589,0.008126669,-3.186057
-1.510322,0.008126666,-3.175095
-1.502417,0.01747333,-3.177525
-1.510322,0.01747333,-3.175095
-1.502417,0.008126667,-3.177525
-1.494513,0.01747333,-3.179956
-1.494513,0.008126667,-3.179956
-1.486608,0.01747333,-3.182387
-1.486608,0.008126669,-3.182387
-1.478704,0.01747333,-3.184817
-1.478704,0.008126669,-3.184817

