X,Y,Z
0.2206409,0.3333333,-0.4165812
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4165811,0.3333333,0.220641
-0.4165812,0.3333333,-0.2206409
-0.3087267,0.3333333,-0.06036147
-0.1127864,0.3333333,0.5768607
0.3087265,-0.3333333,0.06036137
0.1127862,-0.3333333,-0.5768607
0.1127862,0.3333333,-0.5768607
0.3087264,0.3333333,0.0603614
0.220641,-0.3333333,-0.4165812
-0.1469553,0.5,-0.4779166
0.2206409,0.3333333,-0.4165812
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.3692501,0.3333333,-0.1249146
-0.3692501,-0.3333333,-0.1249147
-0.1733098,-0.3333333,0.5123075
-0.1733099,0.3333333,0.5123075
-0.3692501,0.3333333,-0.1249146
-0.3692501,-0.3333333,-0.1249147
0.220641,-0.3333333,-0.4165812
0.2206409,0.3333333,-0.4165812
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
0.1733101,0.3333333,-0.5123071
0.1733102,-0.3333333,-0.5123071
-0.2206409,-0.3333333,0.4165812
0.1469551,0.5,0.4779166
-0.220641,0.3333333,0.4165812
0.1469553,-0.5,0.4779166
0.1469551,0.5,0.4779166
0.1469553,-0.5,0.4779166
0.1469551,0.5,0.4779166
0.1469553,-0.5,0.4779166
0.3692503,0.3333333,0.124915
0.3692504,-0.3333333,0.124915

X,Y,Z
0.1127862,-0.3333333,-0.5768607
-0.4165811,-0.3333333,-0.220641
-0.4165812,0.3333333,-0.2206409
0.1127862,0.3333333,-0.5768607
-0.4779165,-0.5,0.1469551
-0.2206409,-0.3333333,0.4165812
-0.220641,0.3333333,0.4165812
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4165811,-0.3333333,-0.220641
-0.4165812,0.3333333,-0.2206409
-0.1127864,-0.3333333,0.5768606
0.4165812,-0.3333333,0.2206409
0.4165811,0.3333333,0.220641
-0.1127864,0.3333333,0.5768607
0.4779166,-0.4999999,-0.1469552
0.220641,-0.3333333,-0.4165812
0.2206409,0.3333333,-0.4165812
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4165812,-0.3333333,0.2206409
0.4165811,0.3333333,0.220641
0.3087265,-0.3333333,0.06036137
-0.4165811,-0.3333333,-0.220641
0.1127862,-0.3333333,-0.5768607
0.4165812,-0.3333333,0.2206409
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.2206409,-0.3333333,0.4165812
0.220641,-0.3333333,-0.4165812
0.1469553,-0.5,0.4779166
-0.1469551,-0.5,-0.4779166
0.1469553,-0.5,0.4779166
-0.1469551,-0.5,-0.4779166
0.1469553,-0.5,0.4779166
-0.1469551,-0.5,-0.4779166
0.3692504,-0.3333333,0.124915
0.1733102,-0.3333333,-0.5123071
0.3087264,0.3333333,0.0603614
0.4165811,0.3333333,0.220641
0.4165812,-0.3333333,0.2206409
0.3087265,-0.3333333,0.06036137
0.4779165,0.5,-0.1469551
0.2206409,0.3333333,-0.4165812
0.220641,-0.3333333,-0.4165812
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4165811,0.3333333,0.220641
0.4165812,-0.3333333,0.2206409
-0.3087266,-0.3333333,-0.0603615
-0.3087267,0.3333333,-0.06036147
-0.4165812,0.3333333,-0.2206409
-0.4165811,-0.3333333,-0.220641
-0.4779165,-0.5,0.1469551
-0.220641,0.3333333,0.4165812
-0.2206409,-0.3333333,0.4165812
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4165811,-0.3333333,-0.220641
-0.4165812,0.3333333,-0.2206409
-0.3087266,-0.3333333,-0.0603615
0.4165812,-0.3333333,0.2206409
-0.1127864,-0.3333333,0.5768606
-0.4165811,-0.3333333,-0.220641
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.2206409,-0.3333333,0.4165812
0.220641,-0.3333333,-0.4165812
-0.1469551,-0.5,-0.4779166
0.1469553,-0.5,0.4779166
-0.1469551,-0.5,-0.4779166
0.1469553,-0.5,0.4779166
-0.1469551,-0.5,-0.4779166
0.1469553,-0.5,0.4779166
-0.3692501,-0.3333333,-0.1249147
-0.1733098,-0.3333333,0.5123075
-0.220641,0.3333333,0.4165812
0.1469553,-0.5,0.4779166
-0.2206409,-0.3333333,0.4165812
0.1469551,0.5,0.4779166
0.1469553,-0.5,0.4779166
0.1469551,0.5,0.4779166
0.1469553,-0.5,0.4779166
0.1469551,0.5,0.4779166
-0.1733098,-0.3333333,0.5123075
-0.1733099,0.3333333,0.5123075
0.1733102,-0.3333333,-0.5123071
0.1733101,0.3333333,-0.5123071
0.3692503,0.3333333,0.124915
0.3692504,-0.3333333,0.124915
-0.4165812,0.3333333,-0.2206409
0.3087264,0.3333333,0.0603614
0.1127862,0.3333333,-0.5768607
0.4165811,0.3333333,0.220641
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.2206409,0.3333333,-0.4165812
-0.220641,0.3333333,0.4165812
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
0.3692503,0.3333333,0.124915
0.1733101,0.3333333,-0.5123071
-0.3087266,-0.3333333,-0.0603615
-0.1127864,-0.3333333,0.5768606
-0.1127864,0.3333333,0.5768607
-0.3087267,0.3333333,-0.06036147
-0.3692501,0.3333333,-0.1249146
-0.1733099,0.3333333,0.5123075
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
-0.220641,0.3333333,0.4165812
0.2206409,0.3333333,-0.4165812
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4165811,0.3333333,0.220641
-0.4165812,0.3333333,-0.2206409
-0.3087267,0.3333333,-0.06036147
-0.1127864,0.3333333,0.5768607
0.3087265,-0.3333333,0.06036137
0.1127862,-0.3333333,-0.5768607
0.1127862,0.3333333,-0.5768607
0.3087264,0.3333333,0.0603614
0.220641,-0.3333333,-0.4165812
-0.1469553,0.5,-0.4779166
0.2206409,0.3333333,-0.4165812
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.3692501,0.3333333,-0.1249146
-0.3692501,-0.3333333,-0.1249147
-0.1733098,-0.3333333,0.5123075
-0.1733099,0.3333333,0.5123075
-0.3692501,0.3333333,-0.1249146
-0.3692501,-0.3333333,-0.1249147
0.220641,-0.3333333,-0.4165812
0.2206409,0.3333333,-0.4165812
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
0.1733101,0.3333333,-0.5123071
0.1733102,-0.3333333,-0.5123071
-0.2206409,-0.3333333,0.4165812
0.1469551,0.5,0.4779166
-0.220641,0.3333333,0.4165812
0.1469553,-0.5,0.4779166
0.1469551,0.5,0.4779166
0.1469553,-0.5,0.4779166
0.1469551,0.5,0.4779166
0.1469553,-0.5,0.4779166
0.3692503,0.3333333,0.124915
0.3692504,-0.3333333,0.124915

X,Y,Z
0.1127862,-0.3333333,-0.5768607
-0.4165811,-0.3333333,-0.220641
-0.4165812,0.3333333,-0.2206409
0.1127862,0.3333333,-0.5768607
-0.4779165,-0.5,0.1469551
-0.2206409,-0.3333333,0.4165812
-0.220641,0.3333333,0.4165812
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4165811,-0.3333333,-0.220641
-0.4165812,0.3333333,-0.2206409
-0.1127864,-0.3333333,0.5768606
0.4165812,-0.3333333,0.2206409
0.4165811,0.3333333,0.220641
-0.1127864,0.3333333,0.5768607
0.4779166,-0.4999999,-0.1469552
0.220641,-0.3333333,-0.4165812
0.2206409,0.3333333,-0.4165812
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4165812,-0.3333333,0.2206409
0.4165811,0.3333333,0.220641
0.3087265,-0.3333333,0.06036137
-0.4165811,-0.3333333,-0.220641
0.1127862,-0.3333333,-0.5768607
0.4165812,-0.3333333,0.2206409
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.2206409,-0.3333333,0.4165812
0.220641,-0.3333333,-0.4165812
0.1469553,-0.5,0.4779166
-0.1469551,-0.5,-0.4779166
0.1469553,-0.5,0.4779166
-0.1469551,-0.5,-0.4779166
0.1469553,-0.5,0.4779166
-0.1469551,-0.5,-0.4779166
0.3692504,-0.3333333,0.124915
0.1733102,-0.3333333,-0.5123071
0.3087264,0.3333333,0.0603614
0.4165811,0.3333333,0.220641
0.4165812,-0.3333333,0.2206409
0.3087265,-0.3333333,0.06036137
0.4779165,0.5,-0.1469551
0.2206409,0.3333333,-0.4165812
0.220641,-0.3333333,-0.4165812
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4779165,0.5,-0.1469551
0.4779166,-0.4999999,-0.1469552
0.4165811,0.3333333,0.220641
0.4165812,-0.3333333,0.2206409
-0.3087266,-0.3333333,-0.0603615
-0.3087267,0.3333333,-0.06036147
-0.4165812,0.3333333,-0.2206409
-0.4165811,-0.3333333,-0.220641
-0.4779165,-0.5,0.1469551
-0.220641,0.3333333,0.4165812
-0.2206409,-0.3333333,0.4165812
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4779165,-0.5,0.1469551
-0.4779166,0.4999999,0.1469552
-0.4165811,-0.3333333,-0.220641
-0.4165812,0.3333333,-0.2206409
-0.3087266,-0.3333333,-0.0603615
0.4165812,-0.3333333,0.2206409
-0.1127864,-0.3333333,0.5768606
-0.4165811,-0.3333333,-0.220641
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.4779165,-0.5,0.1469551
0.4779166,-0.4999999,-0.1469552
-0.2206409,-0.3333333,0.4165812
0.220641,-0.3333333,-0.4165812
-0.1469551,-0.5,-0.4779166
0.1469553,-0.5,0.4779166
-0.1469551,-0.5,-0.4779166
0.1469553,-0.5,0.4779166
-0.1469551,-0.5,-0.4779166
0.1469553,-0.5,0.4779166
-0.3692501,-0.3333333,-0.1249147
-0.1733098,-0.3333333,0.5123075
-0.220641,0.3333333,0.4165812
0.1469553,-0.5,0.4779166
-0.2206409,-0.3333333,0.4165812
0.1469551,0.5,0.4779166
0.1469553,-0.5,0.4779166
0.1469551,0.5,0.4779166
0.1469553,-0.5,0.4779166
0.1469551,0.5,0.4779166
-0.1733098,-0.3333333,0.5123075
-0.1733099,0.3333333,0.5123075
0.1733102,-0.3333333,-0.5123071
0.1733101,0.3333333,-0.5123071
0.3692503,0.3333333,0.124915
0.3692504,-0.3333333,0.124915
-0.4165812,0.3333333,-0.2206409
0.3087264,0.3333333,0.0603614
0.1127862,0.3333333,-0.5768607
0.4165811,0.3333333,0.220641
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.2206409,0.3333333,-0.4165812
-0.220641,0.3333333,0.4165812
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
0.3692503,0.3333333,0.124915
0.1733101,0.3333333,-0.5123071
-0.3087266,-0.3333333,-0.0603615
-0.1127864,-0.3333333,0.5768606
-0.1127864,0.3333333,0.5768607
-0.3087267,0.3333333,-0.06036147
-0.3692501,0.3333333,-0.1249146
-0.1733099,0.3333333,0.5123075
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
0.1469551,0.5,0.4779166
-0.1469553,0.5,-0.4779166
-0.220641,0.3333333,0.4165812
0.2206409,0.3333333,-0.4165812
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4779165,0.5,-0.1469551
-0.4779166,0.4999999,0.1469552
0.4165811,0.3333333,0.220641
-0.4165812,0.3333333,-0.2206409
-0.3087267,0.3333333,-0.06036147
-0.1127864,0.3333333,0.5768607
0.3087265,-0.3333333,0.06036137
0.1127862,-0.3333333,-0.5768607
0.1127862,0.3333333,-0.5768607
0.3087264,0.3333333,0.0603614
0.220641,-0.3333333,-0.4165812
-0.1469553,0.5,-0.4779166
0.2206409,0.3333333,-0.4165812
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.3692501,0.3333333,-0.1249146
-0.3692501,-0.3333333,-0.1249147
-0.1733098,-0.3333333,0.5123075
-0.1733099,0.3333333,0.5123075
-0.3692501,0.3333333,-0.1249146
-0.3692501,-0.3333333,-0.1249147
0.220641,-0.3333333,-0.4165812
0.2206409,0.3333333,-0.4165812
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
-0.1469553,0.5,-0.4779166
-0.1469551,-0.5,-0.4779166
0.1733101,0.3333333,-0.5123071
0.1733102,-0.3333333,-0.5123071
-0.2206409,-0.3333333,0.4165812
0.1469551,0.5,0.4779166
-0.220641,0.3333333,0.4165812
0.1469553,-0.5,0.4779166
0.1469551,0.5,0.4779166
0.1469553,-0.5,0.4779166
0.1469551,0.5,0.4779166
0.1469553,-0.5,0.4779166
0.3692503,0.3333333,0.124915
0.3692504,-0.3333333,0.124915

